cs1,cs2,wmd,label
0.473,0.587,2.203,1
0.012,0.371,3.332,1
0.077,0.21,3.142,0
0.157,0.385,3.07,1
0.433,0.832,2.141,3
0.04,0.275,3.207,0
0.612,0.85,1.876,4
0.716,0.847,1.168,5
0.475,0.782,1.814,5
0.589,0.925,1.223,5
0.741,0.816,1.832,4
0.412,0.797,2.247,3
0.528,0.808,1.59,5
0.653,0.858,1.75,4
0.55,0.727,2.119,3
0.484,0.725,2.138,2
0.415,0.733,2.105,3
0.684,0.848,1.524,5
0.342,0.673,2.666,1
0.04,0.561,3.187,0
0.605,0.755,1.866,2
0.138,0.529,2.901,2
0.259,0.602,2.716,2
0.24,0.667,2.753,1
0.221,0.647,2.919,2
0.698,0.911,1.092,5
0.718,0.901,1.093,4
0.385,0.793,2.101,4
0.495,0.624,2.32,3
0.598,0.833,1.513,4
0.334,0.742,2.508,3
0.263,0.668,2.288,3
0.412,0.847,2.238,2
0.524,0.689,2.118,1
0.751,0.803,1.43,4
0.531,0.7,2.122,2
0.278,0.595,2.686,1
0.139,0.514,2.919,1
0.739,0.843,1.392,3
0.716,0.933,1.171,4
0.424,0.722,2.018,4
0.515,0.531,2.307,3
0.488,0.83,1.898,4
0.621,0.922,1.187,5
0.3,0.795,2.272,2
0.211,0.674,2.456,2
0.237,0.701,2.529,2
0.523,0.714,1.715,5
0.246,0.782,2.689,1
0.307,0.576,2.134,3
0.431,0.707,2.494,0
0.478,0.779,2.456,2
0.587,0.798,1.746,4
0.043,0.198,3.151,0
0.382,0.71,2.437,1
0.644,0.826,1.751,3
0.253,0.604,2.926,1
0.225,0.606,2.742,0
0.483,0.813,1.532,5
0.0561,0.573,3.251,0